Frequency,Intensity,R2_eff,Error
0,7830000000,0.0,
50,2337000000,-30.227361361149768,0.08539868090071168
50,2371000000,-29.866267572986082,0.08539868090071168
100,2258000000,-31.08707610688104,
250,2532000000,-28.22382514301955,
500,2662000000,-26.972119750744795,
750,2616000000,-27.40790191019399,0.005019120703551527
750,2614000000,-27.427022370017042,0.005019120703551527
1000,2596000000,-27.599767779021704,
1250,2653000000,-27.05678587117773,
1500,2639000000,-27.18906131203812,
2000,2602000000,-27.542053247809957,
