Frequency,Intensity,R2,R2_Error
0,7830000000,0.0,
50,2337000000,30.227361361149768,0.2574268621121478
50,2371000000,29.866267572986082,0.25511336019121417
100,2258000000,31.087076106881035,
250,2532000000,28.22382514301955,
500,2662000000,26.972119750744795,
750,2616000000,27.40790191019399,0.013549450280224098
750,2614000000,27.427022370017042,0.013613125140436319
1000,2596000000,27.599767779021704,
1250,2653000000,27.05678587117773,
1500,2639000000,27.18906131203812,
2000,2602000000,27.542053247809957,
