Frequency (Hz),R2,R2 Error
0,0.0,0.13442603652758348
50,30.227361361149768,0.2553318662548809
50,29.866267572986082,0.2553318662548809
100,31.087076106881035,0.13442603652758348
250,28.22382514301955,0.13442603652758348
500,26.972119750744795,0.13442603652758348
750,27.40790191019399,0.01352020680028602
750,27.427022370017042,0.01352020680028602
1000,27.599767779021704,0.13442603652758348
1250,27.05678587117773,0.13442603652758348
1500,27.18906131203812,0.13442603652758348
2000,27.542053247809957,0.13442603652758348
